Client ID,Age,Gender,Income Group,Average_CA_transaction_amount,No_of_products_held,Held Loan previously,Num Transactions,Loan Flag
1,36,1,10001-40000,58,4,1,0.0,0
2,43,1,0-10000,2663,4,0,17.0,0
3,32,0,10001-40000,46,2,0,25.0,0
4,52,1,40001-60000,0,2,1,13.0,0
5,63,0,60001-100000,126,1,0,39.0,0
6,33,0,10001-40000,338,2,0,39.0,0
7,25,0,10001-40000,0,1,0,16.0,0
8,68,1,60001-100000,977,4,0,17.0,0
9,24,0,60001-100000,22,4,0,5.0,0
10,34,0,10001-40000,115,2,0,5.0,0
11,54,0,10001-40000,91,4,0,0.0,0
12,64,0,10001-40000,0,2,0,0.0,0
13,31,1,60001-100000,232,1,1,0.0,0
14,33,1,60001-100000,0,2,0,23.0,0
15,37,0,10001-40000,72,5,0,0.0,0
16,29,0,60001-100000,392,2,0,0.0,0
17,51,1,100000+,0,2,0,11.0,0
18,23,1,10001-40000,0,3,0,0.0,0
19,30,0,10001-40000,324,2,1,0.0,0
20,27,0,60001-100000,95,1,0,37.0,0
21,48,1,10001-40000,669,3,1,21.0,0
22,48,0,10001-40000,0,4,1,17.0,0
23,41,1,10001-40000,0,2,0,63.0,0
24,57,1,10001-40000,0,2,0,11.0,0
25,35,0,10001-40000,1159,1,0,35.0,1
26,50,1,10001-40000,0,5,0,55.0,0
27,52,0,60001-100000,0,1,0,19.0,0
28,46,0,10001-40000,280,1,0,20.0,0
29,22,1,0-10000,1368,2,0,30.0,0
30,45,0,10001-40000,0,2,0,15.0,0
31,21,1,10001-40000,4,3,0,8.0,0
32,23,1,10001-40000,350,1,0,26.0,0
33,38,0,10001-40000,0,2,0,95.0,0
34,32,0,60001-100000,9470,4,0,0.0,0
35,62,1,10001-40000,2949,4,0,0.0,0
36,33,1,100000+,0,4,0,14.0,0
37,21,1,10001-40000,28,1,1,4.0,0
38,60,0,100000+,0,4,0,9.0,0
39,27,0,10001-40000,0,2,0,0.0,0
40,23,0,60001-100000,254,2,0,26.0,0
41,57,0,100000+,907,1,0,20.0,0
42,64,0,60001-100000,0,4,0,27.0,0
43,59,0,100000+,210,4,1,0.0,0
44,54,0,10001-40000,390,5,1,4.0,0
45,58,0,10001-40000,1447,1,1,20.0,0
46,56,0,10001-40000,0,3,0,11.0,0
47,55,0,10001-40000,2494,4,0,83.0,1
48,45,1,40001-60000,2369,2,0,0.0,0
49,29,0,60001-100000,24,2,0,78.0,0
50,68,1,60001-100000,0,2,0,4.0,0
51,54,1,60001-100000,0,4,1,81.0,1
52,55,1,100000+,1234,2,1,0.0,0
53,63,0,10001-40000,0,2,0,0.0,0
54,51,0,60001-100000,0,4,1,3.0,0
55,25,0,100000+,1878,5,1,39.0,0
56,27,1,10001-40000,0,2,0,10.0,0
57,59,1,10001-40000,0,5,0,0.0,0
58,21,0,10001-40000,0,5,1,32.0,0
59,63,1,10001-40000,1802,3,0,37.0,0
60,40,0,10001-40000,99,5,1,21.0,0
61,32,0,10001-40000,983,2,0,0.0,0
62,32,0,10001-40000,0,1,0,11.0,0
63,31,0,0-10000,0,4,0,40.0,0
64,28,0,10001-40000,0,3,1,12.0,0
65,20,0,60001-100000,316,5,0,0.0,0
66,22,1,0-10000,68,1,0,0.0,0
67,43,1,10001-40000,309,1,0,0.0,0
68,43,1,10001-40000,0,5,0,30.0,0
69,37,1,10001-40000,1033,5,0,0.0,0
70,42,1,10001-40000,707,4,0,15.0,0
71,66,0,10001-40000,2132,2,0,0.0,1
72,32,0,40001-60000,0,4,1,0.0,0
73,67,1,10001-40000,289,3,0,13.0,0
74,66,1,40001-60000,0,5,1,0.0,0
75,20,1,10001-40000,92,4,1,10.0,0
76,53,0,0-10000,0,1,0,0.0,0
77,38,0,10001-40000,0,1,0,9.0,0
78,36,0,60001-100000,0,5,1,64.0,0
79,27,1,10001-40000,2081,4,0,40.0,0
80,39,1,40001-60000,4,1,0,0.0,0
81,41,0,60001-100000,0,2,0,15.0,0
82,61,0,60001-100000,410,1,0,41.0,0
83,48,0,60001-100000,0,5,0,16.0,0
84,36,1,60001-100000,13,5,0,3.0,0
85,28,1,10001-40000,0,3,1,11.0,0
86,53,1,60001-100000,0,5,0,0.0,0
87,61,0,60001-100000,0,5,0,22.0,0
88,27,0,10001-40000,0,5,0,10.0,0
89,38,1,100000+,945,3,0,4.0,0
90,32,0,10001-40000,0,2,0,53.0,0
91,54,0,10001-40000,0,5,0,11.0,0
92,41,1,10001-40000,0,2,0,0.0,0
93,70,1,10001-40000,95,1,1,0.0,0
94,23,1,40001-60000,1099,2,0,0.0,0
95,65,0,10001-40000,1216,4,0,22.0,0
96,38,1,10001-40000,0,4,0,3.0,0
97,50,0,10001-40000,171,2,0,24.0,0
98,57,0,10001-40000,0,1,0,7.0,0
99,46,0,40001-60000,0,4,0,0.0,0
100,28,0,10001-40000,4,4,0,30.0,0
101,46,0,10001-40000,464,2,0,23.0,0
102,28,0,60001-100000,0,4,0,0.0,0
103,29,1,40001-60000,0,4,0,0.0,0
104,64,1,40001-60000,254,3,0,2.0,0
105,44,1,10001-40000,0,1,0,89.0,0
106,69,0,10001-40000,314,3,1,0.0,0
107,52,1,10001-40000,0,5,0,0.0,0
108,25,0,10001-40000,427,4,0,0.0,0
109,52,0,40001-60000,27,2,0,11.0,0
110,66,0,10001-40000,382,4,0,2.0,0
111,37,0,10001-40000,0,2,0,31.0,0
112,29,1,10001-40000,0,5,1,2.0,0
113,52,1,10001-40000,0,1,1,0.0,0
114,24,0,10001-40000,2280,1,0,21.0,0
115,45,1,10001-40000,939,1,0,0.0,0
116,58,1,0-10000,0,5,0,0.0,0
117,51,0,100000+,0,5,1,0.0,0
118,56,0,100000+,342,2,0,78.0,0
119,58,1,10001-40000,299,5,0,17.0,0
120,65,0,10001-40000,0,5,0,7.0,0
121,44,0,60001-100000,133,4,0,0.0,0
122,53,1,40001-60000,22,2,0,0.0,0
123,24,0,100000+,0,3,0,0.0,0
124,30,1,60001-100000,5,5,0,48.0,0
125,44,1,10001-40000,0,3,0,42.0,0
126,25,0,10001-40000,0,1,0,0.0,0
127,64,1,10001-40000,0,4,0,0.0,0
128,49,0,10001-40000,1640,4,0,21.0,0
129,70,1,10001-40000,1780,2,0,13.0,0
130,24,1,40001-60000,0,5,0,0.0,0
131,46,0,10001-40000,0,3,1,32.0,0
132,63,0,100000+,159,4,0,1.0,0
133,40,0,10001-40000,0,3,0,29.0,0
134,41,0,10001-40000,0,3,0,0.0,0
135,44,1,10001-40000,663,2,0,33.0,0
136,63,1,60001-100000,71,1,0,2.0,0
137,56,1,10001-40000,0,2,0,40.0,0
138,52,0,10001-40000,226,4,0,36.0,0
139,42,1,10001-40000,133,4,1,17.0,0
140,42,1,10001-40000,194,5,1,6.0,0
141,62,0,10001-40000,1156,2,0,3.0,0
142,41,1,10001-40000,45,3,0,4.0,0
143,65,1,10001-40000,0,4,0,10.0,0
144,63,1,60001-100000,0,4,0,9.0,0
145,23,0,40001-60000,1203,2,0,0.0,0
146,59,1,100000+,0,3,0,18.0,0
147,51,0,10001-40000,96,2,1,0.0,0
148,40,1,0-10000,2495,4,1,35.0,1
149,42,1,40001-60000,0,5,0,7.0,0
150,22,0,10001-40000,0,3,0,73.0,0
151,32,1,40001-60000,0,2,0,66.0,0
152,21,0,10001-40000,0,1,0,0.0,0
153,20,0,10001-40000,0,3,0,32.0,0
154,45,1,10001-40000,0,5,0,0.0,0
155,26,1,10001-40000,0,4,0,37.0,0
156,28,0,100000+,1989,5,0,24.0,0
157,34,1,10001-40000,0,5,0,9.0,0
158,49,0,10001-40000,321,1,0,0.0,0
159,58,0,10001-40000,1101,3,1,2.0,0
160,44,1,10001-40000,0,4,0,15.0,0
161,31,1,10001-40000,80,5,0,29.0,0
162,37,1,10001-40000,337,5,1,0.0,0
163,21,0,10001-40000,0,5,0,18.0,0
164,29,0,10001-40000,0,5,0,30.0,0
165,31,1,10001-40000,0,2,0,2.0,0
166,57,0,10001-40000,12,1,0,0.0,0
167,27,0,100000+,402,4,0,29.0,0
168,44,1,10001-40000,945,4,0,0.0,0
169,34,1,100000+,0,1,1,36.0,0
170,50,1,40001-60000,8,1,0,39.0,0
171,69,1,60001-100000,16,4,0,29.0,0
172,27,1,100000+,1035,5,0,3.0,0
173,39,0,10001-40000,359,3,1,24.0,0
174,62,1,10001-40000,0,3,0,11.0,0
175,57,1,10001-40000,0,3,0,19.0,0
176,31,0,100000+,348,3,0,4.0,0
177,60,0,60001-100000,0,3,0,6.0,0
178,40,0,100000+,0,1,0,8.0,0
179,38,0,10001-40000,0,5,1,0.0,0
180,21,0,10001-40000,0,5,0,0.0,0
181,31,0,10001-40000,199,5,1,0.0,0
182,56,1,10001-40000,0,3,0,0.0,0
183,36,0,10001-40000,0,1,0,0.0,0
184,46,1,60001-100000,1061,1,1,0.0,0
185,20,1,10001-40000,0,3,0,0.0,0
186,47,0,10001-40000,0,5,1,38.0,0
187,56,0,60001-100000,80,1,0,26.0,0
188,53,0,10001-40000,0,5,0,6.0,0
189,63,1,60001-100000,0,2,1,2.0,0
190,44,0,100000+,0,2,0,10.0,0
191,40,1,100000+,22,2,0,91.0,0
192,46,0,10001-40000,2948,1,0,0.0,0
